ROLL_DMP,ROLL_ACC,ROLL_RATE_DMP,ROLL_RATE_GYRO
6.9895,17.2143,-5.4878,-5.4878
7.0107,17.4286,-5.4268,-5.4268
7.0330,17.4077,-5.4268,-5.4268
7.0547,17.3715,-5.4268,-5.4268
7.0767,17.4486,-5.4878,-5.4878
7.0996,17.3395,-5.3659,-5.3659
7.1191,17.4622,-5.5488,-5.5488
7.1395,17.4838,-5.6098,-5.6098
7.1615,17.2926,-5.4878,-5.4878
7.1818,17.1379,-5.4268,-5.4268
7.2007,17.2198,-5.5488,-5.5488
7.2209,17.5856,-5.4268,-5.4268
7.2416,17.3100,-5.4878,-5.4878
7.2631,17.3110,-5.4268,-5.4268
7.2831,17.5725,-5.3659,-5.3659
7.3032,17.4568,-5.4878,-5.4878
7.3235,17.4749,-5.4268,-5.4268
7.3430,17.2751,-5.4268,-5.4268
7.3614,17.3062,-5.4878,-5.4878
7.3793,17.5270,-5.4878,-5.4878
7.3983,17.3995,-5.5488,-5.5488
7.4175,17.3741,-5.3659,-5.3659
7.4365,17.2652,-5.4878,-5.4878
7.4541,17.3420,-5.5488,-5.5488
7.4715,17.3587,-5.4878,-5.4878
7.4890,17.2335,-5.4878,-5.4878
7.5070,17.2803,-5.4878,-5.4878
7.5240,17.2695,-5.5488,-5.5488
7.5415,17.1942,-5.6098,-5.6098
7.5584,17.5464,-5.6098,-5.6098
7.5771,17.5306,-5.4878,-5.4878
7.5948,17.5123,-5.5488,-5.5488
7.6141,17.4043,-5.4268,-5.4268
7.6327,17.2681,-5.3659,-5.3659
7.6492,17.4343,-5.4878,-5.4878
7.6662,17.3177,-5.4878,-5.4878
7.6819,17.3835,-5.5488,-5.5488
7.6990,17.4302,-5.4268,-5.4268
7.7152,17.3369,-5.4268,-5.4268
7.7308,17.3830,-5.4878,-5.4878
7.7472,17.1658,-5.4878,-5.4878
7.7630,17.3957,-5.3659,-5.3659
7.7802,17.3399,-5.4268,-5.4268
7.7964,17.3441,-5.4268,-5.4268
7.8122,17.3254,-5.4268,-5.4268
7.8279,17.3220,-5.4268,-5.4268
7.8425,17.3211,-5.5488,-5.5488
7.8581,17.5805,-5.4268,-5.4268
7.8756,17.3850,-5.3659,-5.3659
7.8912,17.3280,-5.4878,-5.4878
7.9059,17.3361,-5.4878,-5.4878
7.9211,17.5414,-5.4268,-5.4268
7.9378,17.3426,-5.4268,-5.4268
7.9536,17.4897,-5.3659,-5.3659
7.9689,17.4578,-5.4268,-5.4268
7.9831,17.4958,-5.5488,-5.5488
7.9976,17.3900,-5.4268,-5.4268
